airport,timezone,elevation,continent,longitude,latitude
EGLL,Europe/London,83.0,EU,-0.461941,51.4706
LEBL,Europe/Madrid,12.0,EU,2.07846,41.2971
ESSA,Europe/Stockholm,137.0,EU,17.928829,59.64849
LSZH,Europe/Zurich,1417.0,EU,8.548056,47.458056
EIDW,Europe/Dublin,242.0,EU,-6.262121,53.428713
ENGM,Europe/Oslo,681.0,EU,11.1004,60.193901
EGAC,Europe/London,15.0,EU,-5.8725,54.618099
LTFM,Europe/Istanbul,325.0,EU,28.741951,41.261297
KLAX,America/Los_Angeles,125.0,,-118.407997,33.942501
LOWW,Europe/Vienna,600.0,EU,16.5697,48.110298
LSGG,Europe/Zurich,1411.0,EU,6.10895,46.238098
LTAT,Europe/Istanbul,2828.0,AS,38.0909996033,38.4352989197
LEAL,Europe/Madrid,142.0,EU,-0.558156,38.2822
EGKK,Europe/London,202.0,EU,-0.192089,51.148771
KMIA,America/New_York,8.0,,-80.29060363769531,25.79319953918457
EGPF,Europe/London,26.0,EU,-4.43306,55.871899
KCLT,America/New_York,748.0,,-80.94309997558594,35.2140007019043
EKCH,Europe/Copenhagen,17.0,EU,12.656000137329,55.617900848389
LTFJ,Europe/Istanbul,312.0,AS,29.3092,40.898602
EDDF,Europe/Berlin,364.0,EU,8.561096,50.030241
EBBR,Europe/Brussels,175.0,EU,4.48444,50.901402
LGAV,Europe/Athens,308.0,EU,23.9445,37.936401
LROP,Europe/Bucharest,314.0,EU,26.103396,44.572127
LFPG,Europe/Paris,392.0,EU,2.55,49.012798
LEMG,Europe/Madrid,53.0,EU,-4.49911,36.6749
EDDB,Europe/Berlin,157.0,EU,13.500672,52.362247
LTAC,Europe/Istanbul,3125.0,AS,32.995098,40.128101
EDDL,Europe/Berlin,147.0,EU,6.76678,51.289501
EHAM,Europe/Amsterdam,-11.0,EU,4.76389,52.308601
KDFW,America/Chicago,607.0,,-97.038002,32.896801
UBBB,Asia/Baku,10.0,AS,50.04669952392578,40.46749877929688
EICK,Europe/Dublin,502.0,EU,-8.49111,51.841301
EDDH,Europe/Berlin,53.0,EU,9.98823,53.630402
ENBO,Europe/Oslo,42.0,EU,14.3653,67.269203
EGCC,Europe/London,257.0,EU,-2.279521,53.349375
ESGG,Europe/Stockholm,506.0,EU,12.2798,57.6628
LCLK,Asia/Nicosia,8.0,AS,33.624901,34.875099
LEPA,Europe/Madrid,27.0,EU,2.73881,39.551701
EDDM,Europe/Berlin,1487.0,EU,11.7861,48.353802
EGFF,Europe/London,220.0,EU,-3.34333,51.396702
LFMN,Europe/Paris,12.0,EU,7.21587,43.658401
LEMD,Europe/Madrid,1998.0,EU,-3.56264,40.471926
LFSB,Europe/Paris,885.0,EU,7.521117,47.60068
EGPH,Europe/London,135.0,EU,-3.372288,55.950145
ENHD,Europe/Oslo,86.0,EU,5.20836,59.345299
LEVC,Europe/Madrid,240.0,EU,-0.481625,39.4893
KJFK,America/New_York,13.0,,-73.779317,40.639447
LIRF,Europe/Rome,13.0,EU,12.251998,41.804532
LBSF,Europe/Sofia,1742.0,EU,23.417671,42.696357
EGBB,Europe/London,327.0,EU,-1.74803,52.453899
EPWA,Europe/Warsaw,362.0,EU,20.9671,52.165699
ESMS,Europe/Stockholm,236.0,EU,13.376327,55.535564
LFBO,Europe/Paris,499.0,EU,1.36382,43.629101
LTBS,Europe/Istanbul,20.0,AS,28.7924995422,36.7131004333
ESNZ,Europe/Stockholm,1233.0,EU,14.500322,63.194135
LPFR,Europe/Lisbon,24.0,EU,-7.96590995789,37.0144004822
ESPA,Europe/Stockholm,65.0,EU,22.122,65.5438
EETN,Europe/Tallinn,131.0,EU,24.83264,59.413246
ENZV,Europe/Oslo,29.0,EU,5.63778,58.876701
LFLL,Europe/Paris,821.0,EU,5.090139,45.725996
EBAW,Europe/Brussels,39.0,EU,4.463153,51.190667
KBOS,America/New_York,20.0,,-71.0079,42.36197
LTFE,Europe/Istanbul,21.0,AS,27.664301,37.250599
ENBR,Europe/Oslo,170.0,EU,5.21814,60.2934
KORD,America/Chicago,680.0,,-87.9048,41.9786
KEWR,America/New_York,18.0,,-74.168701,40.692501
KIAD,America/New_York,312.0,,-77.455803,38.9445
EDDK,Europe/Berlin,302.0,EU,7.14274,50.865898
EIKN,Europe/Dublin,665.0,EU,-8.81849,53.910301
LLBG,Asia/Jerusalem,135.0,AS,34.8867,32.011398
